# wavelength (nm), throughput
478.2000122,0.042641381
478.2999878,0.045536073
478.3999939,0.048389969
478.5,0.05117789
478.6000061,0.053874178
478.7000122,0.056451461
478.7999878,0.0588606
478.8999939,0.061127387
479,0.063199525
479.1000061,0.065059111
479.2000122,0.06667663
479.2999878,0.068032342
479.3999939,0.069107034
479.5,0.069882957
479.6000061,0.070345844
479.7000122,0.070484396
479.7999878,0.07029422
479.8999939,0.069766508
480,0.068902038
480.1000061,0.067688389
480.2000122,0.06614659
480.2999878,0.064291506
480.3999939,0.062138263
480.5,0.059707131
480.6000061,0.057020908
480.7000122,0.054107441
480.7999878,0.05100045
480.8999939,0.047754163
481,0.044350238
481.1000061,0.040856823
481.2000122,0.037309129
481.2999878,0.03374859
481.3999939,0.030214326
481.5,0.02674387
481.6000061,0.033062679
481.7000122,0.03590936
481.7999878,0.038791652
481.8999939,0.041690413
482,0.044582685
482.1000061,0.04743453
482.2000122,0.050205767
482.2999878,0.052926957
482.3999939,0.055547195
482.5,0.05803873
482.6000061,0.060377428
482.7000122,0.062540088
482.7999878,0.064500542
482.8999939,0.066240662
483,0.067735411
483.1000061,0.068942307
483.2000122,0.069858909
483.2999878,0.070490869
483.3999939,0.070813831
483.5,0.070819249
483.6000061,0.070500462
483.7000122,0.069855284
483.7999878,0.068884304
483.8999939,0.067591533
484,0.065985844
484.1000061,0.064165439
484.2000122,0.062077716
484.2999878,0.059698171
484.3999939,0.057065267
484.5,0.054206068
484.6000061,0.051151362
484.7000122,0.047932386
484.7999878,0.044586336
484.8999939,0.041160748
485,0.037678303
485.1000061,0.034156904
485.2000122,0.030657117
485.2999878,0.027249093
485.3999939,0.033285021
485.5,0.036141333
485.6000061,0.039037445
485.7000122,0.041956854
485.7999878,0.044875159
485.8999939,0.047773484
486,0.050625985
486.1000061,0.053422808
486.2000122,0.056129076
486.2999878,0.058693664
486.3999939,0.06114361
486.5,0.063430685
486.6000061,0.065529269
486.7000122,0.06741763
486.7999878,0.069071022
486.8999939,0.070473226
487,0.071603149
487.1000061,0.072418915
487.2000122,0.072931138
487.2999878,0.073129352
487.3999939,0.073008621
487.5,0.072560359
487.6000061,0.071783322
487.7000122,0.070679154
487.7999878,0.069253631
487.8999939,0.067516118
488,0.065479823
488.1000061,0.063157206
488.2000122,0.060573265
488.2999878,0.057752958
488.3999939,0.05475362
488.5,0.051542905
488.6000061,0.048183329
488.7000122,0.04471107
488.7999878,0.041162331
488.8999939,0.037572604
489,0.033979597
489.1000061,0.030435949
489.2000122,0.02696305
489.2999878,0.035390111
489.3999939,0.038318727
489.5,0.041283516
489.6000061,0.044265693
489.7000122,0.047243005
489.7999878,0.050192724
489.8999939,0.053089843
490,0.055888868
490.1000061,0.058612195
490.2000122,0.061213099
490.2999878,0.0636683
490.3999939,0.065956314
490.5,0.068052557
490.6000061,0.069932779
490.7000122,0.071579686
490.7999878,0.072969443
490.8999939,0.074088374
491,0.074910292
491.1000061,0.075432556
491.2000122,0.075639918
491.2999878,0.075524127
491.3999939,0.075080311
491.5,0.074306066
491.6000061,0.073204004
491.7000122,0.071777538
491.7999878,0.070038219
491.8999939,0.067996152
492,0.065693443
492.1000061,0.063084575
492.2000122,0.060233266
492.2999878,0.057168624
492.3999939,0.053918357
492.5,0.050511972
492.6000061,0.046987336
492.7000122,0.043374951
492.7999878,0.039715418
492.8999939,0.03604642
493,0.032440431
493.1000061,0.028875353
493.2000122,0.03571937
493.2999878,0.038677333
493.3999939,0.041648018
493.5,0.044671087
493.6000061,0.047697622
493.7000122,0.050703874
493.7999878,0.05367041
493.8999939,0.056573637
494,0.059390712
494.1000061,0.06207837
494.2000122,0.064629873
494.2999878,0.067020594
494.3999939,0.069209156
494.5,0.071215773
494.6000061,0.072996225
494.7000122,0.074530697
494.7999878,0.075794435
494.8999939,0.07676901
495,0.07744646
495.1000061,0.077794133
495.2000122,0.07782434
495.2999878,0.077531457
495.3999939,0.076919562
495.5,0.07597579
495.6000061,0.07470796
495.7000122,0.073123664
495.7999878,0.071232097
495.8999939,0.069048068
496,0.066588727
496.1000061,0.063894535
496.2000122,0.060966231
496.2999878,0.057831558
496.3999939,0.054519303
496.5,0.051094647
496.6000061,0.047522884
496.7000122,0.043872861
496.7999878,0.040180943
496.8999939,0.036482881
497,0.032815692
497.1000061,0.029212157
497.2000122,0.036739433
497.2999878,0.03966928
497.3999939,0.042659787
497.5,0.045671407
497.6000061,0.048682553
497.7000122,0.051672173
497.7999878,0.054618488
497.8999939,0.057500334
498,0.060294229
498.1000061,0.062963973
498.2000122,0.065499708
498.2999878,0.067877691
498.3999939,0.070055421
498.5,0.072056428
498.6000061,0.073834654
498.7000122,0.075372993
498.7999878,0.076652095
498.8999939,0.077658572
499,0.078375783
499.1000061,0.078816797
499.2000122,0.078947874
499.2999878,0.078762223
499.3999939,0.078262503
499.5,0.077436636
499.6000061,0.076291126
499.7000122,0.07482951
499.7999878,0.073062668
499.8999939,0.071000594
500,0.068666246
500.1000061,0.066078415
500.2000122,0.063249452
500.2999878,0.060205168
500.3999939,0.057004784
500.5,0.053610992
500.6000061,0.050090543
500.7000122,0.046474048
500.7999878,0.042797141
500.8999939,0.039094127
501,0.035401101
501.1000061,0.031729605
501.2000122,0.031372641
501.2999878,0.038531491
501.3999939,0.041478649
501.5,0.044450004
501.6000061,0.047429571
501.7000122,0.050398738
501.7999878,0.053335697
501.8999939,0.056222596
502,0.059034283
502.1000061,0.061807169
502.2000122,0.064442689
502.2999878,0.066970291
502.3999939,0.06934039
502.5,0.071533533
502.6000061,0.073527941
502.7000122,0.075304559
502.7999878,0.076842697
502.8999939,0.078127269
503,0.079141026
503.1000061,0.079860485
503.2000122,0.080280422
503.2999878,0.080401948
503.3999939,0.080210829
503.5,0.07970407
503.6000061,0.078879437
503.7000122,0.077739147
503.7999878,0.076287745
503.8999939,0.074532952
504,0.072486881
504.1000061,0.070123885
504.2000122,0.067525437
504.2999878,0.064676258
504.3999939,0.061609351
504.5,0.058354151
504.6000061,0.054940066
504.7000122,0.051399281
504.7999878,0.047761315
504.8999939,0.044062654
505,0.040337325
505.1000061,0.036624294
505.2000122,0.032954922
505.2999878,0.029397405
505.3999939,0.038328236
505.5,0.041266446
505.6000061,0.04423633
505.7000122,0.047220099
505.7999878,0.05020102
505.8999939,0.053159403
506,0.056074646
506.1000061,0.058936101
506.2000122,0.061714517
506.2999878,0.064361512
506.3999939,0.066910893
506.5,0.069312296
506.6000061,0.07154663
506.7000122,0.073593292
506.7999878,0.075430994
506.8999939,0.077043716
507,0.078411635
507.1000061,0.079492734
507.2000122,0.080300385
507.2999878,0.080819718
507.3999939,0.08105164
507.5,0.080982985
507.6000061,0.080607676
507.7000122,0.079924803
507.7999878,0.078933737
507.8999939,0.077639017
508,0.076045573
508.1000061,0.074207249
508.2000122,0.072089655
508.2999878,0.069734035
